clave,insumo,familia,subfamilia,unidad
17992,ABANICO,Equipo de Transporte,Sistema de Enfriamiento,PIEZAS
31134,ABRAZADERA SILENCIADOR,Equipo de Transporte,Abrazaderas,PIEZAS
27687,ABRE CUBETA,Herramientas y Utiles,Manuales,PIEZAS
19953,ABRELATA ACERO,Cocina,Utensilios,PIEZAS
22817,ABRELATAS USO PROFESIONAL,Herramientas y Utiles,Accesorios,PIEZAS
47,ACCESORIO CAJA,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
49,ACCESORIO ESQUINERO EXTERIOR,Ferreteria,Varios,PIEZAS
50,ACCESORIO ESQUINERO INTERIOR,Ferreteria,Varios,PIEZAS
52,ACCESORIO TE,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
53,ACCESORIO UNION,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
2236,ACCESS POINT,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
24365,ACELEROMETRO/GIROSCOPIO,Herramientas y Utiles,Accesorios,PIEZAS
26170,ACETATO PURA INDUSTRIAL,Equipo de Laboratorio,Material de laboratorio,LITROS
12717,ACOPLADOR LC MULTIMODO,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
30575,ACOPLAMIENTO,Equipo de Transporte,Sistema de Enfriamiento,PIEZAS
16063,ACTUADOR CLEAVER,Herramientas y Utiles,Accesorios,PIEZAS
16070,ACTUADOR DE FLUJO,Equipo de Transporte,Valvulas,PIEZAS
22846,ACTUADOR NEUMATICO,Material Electrico,Motor electrico,PIEZAS
5110,ACUMULADOR,Equipo de Transporte,Acumuladores,PIEZAS
10005,ADAPTADOR DE CORRIENTE,Equipo de Computo,Accesorios de cómputo,PIEZAS
34384,ADAPTADOR DE PALANCA,Equipo de Transporte,Accesorios,PIEZAS
21083,ADAPTADOR ETHERNET USB-C,Equipo de Computo,Accesorios de cómputo,UNIDADES
5356,ADAPTADOR HDMI/VGA,Herramientas y Utiles,Adaptadores,PIEZAS
